POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Andre Russell,1,5,4,1.5,GT,DY Patil Stadium,23 April 2022
2,Marcus Stoinis,2,23,3,4,KKR,DY Patil Stadium,18 May 2022
3,Odean Smith,3,30,4,4.5,MI,Maharashtra Cricket Association Stadium,13 April 2022
4,Kuldeep Yadav,3,14,4,4.5,KKR,Wankhede Stadium,28 April 2022
5,Jasprit Bumrah,4,10,5,4.8,KKR,DY Patil Stadium,09 May 2022
6,Wanindu Hasaranga,4,18,5,4.8,SRH,Wankhede Stadium,08 May 2022
7,Umran Malik,4,25,5,4.8,GT,Wankhede Stadium,27 April 2022
8,Yuzvendra Chahal,4,40,5,4.8,KKR,Brabourne - CCI,18 April 2022
9,Jason Holder,2.3,31,3,5,KKR,Maharashtra Cricket Association Stadium,07 May 2022
10,Kuldeep Sen,3.3,20,4,5.25,RCB,Maharashtra Cricket Association Stadium,26 April 2022
11,Rashid Khan,3.5,24,4,5.75,LSG,Maharashtra Cricket Association Stadium,10 May 2022
12,Kagiso Rabada,4,33,4,6,GT,DY Patil Stadium,03 May 2022
13,Lockie Ferguson,4,28,4,6,DC,Maharashtra Cricket Association Stadium,02 April 2022
14,Daniel Sams,4,30,4,6,CSK,DY Patil Stadium,21 April 2022
15,Shardul Thakur,4,36,4,6,PBKS,DY Patil Stadium,16 May 2022
16,Josh Hazlewood,4,25,4,6,LSG,DY Patil Stadium,19 April 2022
17,Avesh Khan,4,24,4,6,SRH,DY Patil Stadium,04 April 2022
18,T Natarajan,3,10,3,6,RCB,Brabourne - CCI,23 April 2022
19,Umesh Yadav,4,23,4,6,PBKS,Wankhede Stadium,01 April 2022
20,Ramandeep Singh,3,20,3,6,SRH,Wankhede Stadium,17 May 2022
21,Mukesh Choudhary,4,46,4,6,SRH,Maharashtra Cricket Association Stadium,01 May 2022
22,Mohsin Khan,4,16,4,6,DC,Wankhede Stadium,01 May 2022
23,Maheesh Theekshana,4,33,4,6,RCB,DY Patil Stadium,12 April 2022
24,Harshal Patel,4,34,4,6,PBKS,Brabourne - CCI,13 May 2022
25,Akash Deep,3.5,45,3,7.66,KKR,DY Patil Stadium,30 March 2022
26,Yash Dayal,4,40,3,8,RR,DY Patil Stadium,14 April 2022
27,Nathan Ellis,4,40,3,8,SRH,Wankhede Stadium,22 May 2022
28,Ravindra Jadeja,4,39,3,8,RCB,DY Patil Stadium,12 April 2022
29,Bhuvneshwar Kumar,4,22,3,8,PBKS,DY Patil Stadium,17 April 2022
30,Hardik Pandya,4,17,3,8,RR,Narendra Modi Stadium,29 May 2022
31,Prasidh Krishna,4,22,3,8,RCB,Narendra Modi Stadium,27 May 2022
32,Mohammad Shami,4,25,3,8,LSG,Wankhede Stadium,28 March 2022
33,Tim Southee,4,20,3,8,RCB,DY Patil Stadium,30 March 2022
34,Basil Thampi,4,35,3,8,DC,Brabourne - CCI,27 March 2022
35,Khaleel Ahmed,4,25,3,8,KKR,Brabourne - CCI,10 April 2022
36,Mustafizur Rahman,4,18,3,8,KKR,Wankhede Stadium,28 April 2022
37,Liam Livingstone,4,27,3,8,DC,DY Patil Stadium,16 May 2022
38,Pat Cummins,4,22,3,8,MI,DY Patil Stadium,09 May 2022
39,Rahul Chahar,4,25,3,8,CSK,Brabourne - CCI,03 April 2022
40,Moeen Ali,4,13,3,8,DC,DY Patil Stadium,08 May 2022
41,Anrich Nortje,4,42,3,8,CSK,DY Patil Stadium,08 May 2022
42,Harpreet Brar,4,26,3,8,SRH,Wankhede Stadium,22 May 2022
43,Marco Jansen,4,25,3,8,RCB,Brabourne - CCI,23 April 2022
44,Tymal Mills,4,35,3,8,RR,DY Patil Stadium,02 April 2022
45,Ravichandran Ashwin,4,17,3,8,RCB,Maharashtra Cricket Association Stadium,26 April 2022
46,Obed McCoy,4,23,3,8,RCB,Narendra Modi Stadium,27 May 2022
47,Arshdeep Singh,4,37,3,8,DC,DY Patil Stadium,16 May 2022
48,Krunal Pandya,4,19,3,8,MI,Wankhede Stadium,24 April 2022
49,Dwayne Bravo,4,20,3,8,KKR,Wankhede Stadium,26 March 2022