POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
258,Yuzvendra Chahal,4,31,0,6,7.75,0,KKR,Wankhede Stadium,02 May 2022
259,Umesh Yadav,4,31,0,10,7.75,0,SRH,Brabourne - CCI,15 April 2022
260,Alzarri Joseph,4,31,1,12,7.75,24,KKR,DY Patil Stadium,23 April 2022
261,Sai Kishore,4,31,1,8,7.75,24,CSK,Wankhede Stadium,15 May 2022
262,Arshdeep Singh,4,31,1,11,7.75,24,RCB,DY Patil Stadium,27 March 2022
263,Rashid Khan,4,31,1,6,7.75,24,CSK,Wankhede Stadium,15 May 2022
264,Mohammed Siraj,4,31,1,12,7.75,24,LSG,DY Patil Stadium,19 April 2022
265,Ravichandran Ashwin,4,32,2,4,8,12,DC,Wankhede Stadium,22 April 2022
266,Daniel Sams,4,32,1,10,8,24,RR,DY Patil Stadium,30 April 2022
267,Trent Boult,4,32,1,11,8,24,DC,DY Patil Stadium,11 May 2022
268,Mohammad Shami,4,32,0,8,8,0,SRH,DY Patil Stadium,11 April 2022
269,Varun Chakaravarthy,4,32,1,8,8,24,MI,Maharashtra Cricket Association Stadium,06 April 2022
270,Ravichandran Ashwin,4,32,0,7,8,0,DC,DY Patil Stadium,11 May 2022
271,Prasidh Krishna,4,32,2,14,8,12,LSG,Brabourne - CCI,15 May 2022
272,Ravichandran Ashwin,4,32,1,8,8,24,PBKS,Wankhede Stadium,07 May 2022
273,Daniel Sams,4,32,0,10,8,0,RR,DY Patil Stadium,02 April 2022
274,Riley Meredith,4,32,0,9,8,0,GT,Brabourne - CCI,06 May 2022
275,Rashid Khan,4,32,2,6,8,12,RCB,Wankhede Stadium,19 May 2022
276,Prasidh Krishna,4,32,0,12,8,0,CSK,Brabourne - CCI,20 May 2022
277,Kuldeep Yadav,4,32,1,10,8,24,GT,Maharashtra Cricket Association Stadium,02 April 2022
278,Maheesh Theekshana,4,32,1,6,8,24,PBKS,Wankhede Stadium,25 April 2022
279,Yuzvendra Chahal,4,32,0,5,8,0,GT,Eden Gardens,24 May 2022
280,Wanindu Hasaranga,4,32,1,10,8,24,RR,Wankhede Stadium,05 April 2022
281,Yuzvendra Chahal,4,32,1,6,8,24,GT,DY Patil Stadium,14 April 2022
282,Jaydev Unadkat,4,32,2,8,8,12,LSG,Brabourne - CCI,16 April 2022
283,Fazalhaq Farooqi,4,32,2,7,8,12,PBKS,Wankhede Stadium,22 May 2022
284,Arshdeep Singh,4,32,0,7,8,0,SRH,DY Patil Stadium,17 April 2022
285,Jasprit Bumrah,4,32,1,11,8,24,SRH,Wankhede Stadium,17 May 2022
286,Bhuvneshwar Kumar,4,33,0,7,8.25,0,GT,Wankhede Stadium,27 April 2022
287,Lockie Ferguson,4,33,1,13,8.25,24,KKR,DY Patil Stadium,23 April 2022
288,Shivam Mavi,4,33,1,7,8.25,24,RR,Wankhede Stadium,02 May 2022
289,Mohammad Shami,4,33,1,12,8.25,24,RR,Narendra Modi Stadium,29 May 2022
290,Romario Shepherd,4,33,1,12,8.25,24,RR,Maharashtra Cricket Association Stadium,29 March 2022
291,Kagiso Rabada,4,33,4,13,8.25,6,GT,DY Patil Stadium,03 May 2022
292,Harshal Patel,4,33,1,6,8.25,24,RR,Maharashtra Cricket Association Stadium,26 April 2022
293,Kuldeep Yadav,4,33,1,9,8.25,24,MI,Wankhede Stadium,21 May 2022
294,Josh Hazlewood,4,33,1,12,8.25,24,CSK,DY Patil Stadium,12 April 2022
295,Harpreet Brar,4,33,1,12,8.25,24,RCB,Brabourne - CCI,13 May 2022
296,Umran Malik,4,33,3,10,8.25,8,KKR,Maharashtra Cricket Association Stadium,14 May 2022
297,Maheesh Theekshana,4,33,4,10,8.25,6,RCB,DY Patil Stadium,12 April 2022
298,Avesh Khan,4,33,0,7,8.25,0,RCB,DY Patil Stadium,19 April 2022
299,Ravichandran Ashwin,4,33,0,9,8.25,0,GT,DY Patil Stadium,14 April 2022
300,Ravichandran Ashwin,4,33,0,6,8.25,0,KKR,Wankhede Stadium,02 May 2022
301,Lockie Ferguson,4,33,1,10,8.25,24,PBKS,Brabourne - CCI,08 April 2022
302,Yuzvendra Chahal,4,33,1,9,8.25,24,MI,DY Patil Stadium,30 April 2022
303,Varun Chakaravarthy,4,33,1,11,8.25,24,RCB,DY Patil Stadium,30 March 2022
304,Murugan Ashwin,4,33,1,8,8.25,24,LSG,Brabourne - CCI,16 April 2022
305,Vaibhav Arora,4,34,0,5,8.5,0,GT,Brabourne - CCI,08 April 2022
306,Sunil Narine,4,34,1,6,8.5,24,SRH,Maharashtra Cricket Association Stadium,14 May 2022
307,Umesh Yadav,4,34,0,7,8.5,0,LSG,DY Patil Stadium,18 May 2022
308,Lockie Ferguson,4,34,1,12,8.5,24,MI,Brabourne - CCI,06 May 2022
309,Bhuvneshwar Kumar,4,34,0,7,8.5,0,RCB,Wankhede Stadium,08 May 2022
310,Ravi Bishnoi,4,34,0,11,8.5,0,GT,Wankhede Stadium,28 March 2022
311,Murugan Ashwin,4,34,1,7,8.5,24,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
312,Ravi Bishnoi,4,34,1,6,8.5,24,KKR,DY Patil Stadium,18 May 2022
313,Ravi Bishnoi,4,34,1,4,8.5,24,MI,Brabourne - CCI,16 April 2022
314,Alzarri Joseph,4,34,2,10,8.5,12,CSK,Maharashtra Cricket Association Stadium,17 April 2022
315,Jason Holder,4,34,1,7,8.5,24,MI,Brabourne - CCI,16 April 2022
316,Trent Boult,4,34,2,9,8.5,12,RCB,Wankhede Stadium,05 April 2022
317,Ravindra Jadeja,4,34,1,10,8.5,24,PBKS,Brabourne - CCI,03 April 2022
318,T Natarajan,4,34,2,8,8.5,12,GT,DY Patil Stadium,11 April 2022
319,Hrithik Shokeen,4,34,0,11,8.5,0,DC,Wankhede Stadium,21 May 2022
320,Khaleel Ahmed,4,34,2,7,8.5,12,GT,Maharashtra Cricket Association Stadium,02 April 2022
321,Shivam Mavi,4,34,1,10,8.5,24,RR,Brabourne - CCI,18 April 2022
322,Dushmantha Chameera,4,34,0,10,8.5,0,GT,Maharashtra Cricket Association Stadium,10 May 2022
323,Washington Sundar,4,34,0,4,8.5,0,GT,Wankhede Stadium,27 April 2022
324,Harshal Patel,4,34,4,10,8.5,6,PBKS,Brabourne - CCI,13 May 2022
325,Jason Holder,4,34,3,8,8.5,8,SRH,DY Patil Stadium,04 April 2022
326,Alzarri Joseph,4,35,1,8,8.75,24,SRH,Wankhede Stadium,27 April 2022
327,Harshal Patel,4,35,0,3,8.75,0,GT,Brabourne - CCI,30 April 2022
328,Basil Thampi,4,35,3,11,8.75,8,DC,Brabourne - CCI,27 March 2022
329,Dwayne Bravo,4,35,1,6,8.75,24,LSG,Brabourne - CCI,31 March 2022
330,Mohammed Siraj,4,35,0,11,8.75,0,GT,Brabourne - CCI,30 April 2022
331,Marco Jansen,4,35,0,11,8.75,0,PBKS,DY Patil Stadium,17 April 2022
332,Shahbaz Ahmed,4,35,0,6,8.75,0,LSG,Eden Gardens,25 May 2022
333,Obed McCoy,4,35,2,7,8.75,12,LSG,Brabourne - CCI,15 May 2022
334,Maheesh Theekshana,4,35,1,4,8.75,24,MI,DY Patil Stadium,21 April 2022
335,Yash Dayal,4,35,0,6,8.75,0,RCB,Wankhede Stadium,19 May 2022
336,Tymal Mills,4,35,3,10,8.75,8,RR,DY Patil Stadium,02 April 2022
337,Anrich Nortje,4,35,1,11,8.75,24,SRH,Brabourne - CCI,05 May 2022
338,Kagiso Rabada,4,35,2,7,8.75,12,GT,Brabourne - CCI,08 April 2022
339,Kuldeep Sen,4,35,1,8,8.75,24,LSG,Wankhede Stadium,10 April 2022
340,Prasidh Krishna,4,35,0,11,8.75,0,GT,DY Patil Stadium,14 April 2022
341,Prasidh Krishna,4,35,1,13,8.75,24,LSG,Wankhede Stadium,10 April 2022
342,Murugan Ashwin,4,35,1,10,8.75,24,KKR,DY Patil Stadium,09 May 2022
343,Kuldeep Yadav,4,35,4,8,8.75,6,KKR,Brabourne - CCI,10 April 2022
344,Harshal Patel,4,35,3,11,8.75,8,CSK,Maharashtra Cricket Association Stadium,04 May 2022
345,Shivam Mavi,4,35,0,12,8.75,0,CSK,Wankhede Stadium,26 March 2022
346,Tim Southee,4,36,2,14,9,12,PBKS,Wankhede Stadium,01 April 2022
347,Khaleel Ahmed,4,36,1,9,9,24,RCB,Wankhede Stadium,16 April 2022
348,Arshdeep Singh,4,36,1,5,9,24,GT,DY Patil Stadium,03 May 2022
349,Bhuvneshwar Kumar,4,36,1,9,9,24,CSK,DY Patil Stadium,09 April 2022
350,Rishi Dhawan,4,36,2,4,9,12,RCB,Brabourne - CCI,13 May 2022
351,Jaydev Unadkat,4,36,0,5,9,0,LSG,Wankhede Stadium,24 April 2022
352,Trent Boult,4,36,0,10,9,0,PBKS,Wankhede Stadium,07 May 2022
353,Harshal Patel,4,36,1,10,9,24,PBKS,DY Patil Stadium,27 March 2022
354,Jason Holder,4,36,1,8,9,24,MI,Wankhede Stadium,24 April 2022
355,Dwayne Bravo,4,36,2,9,9,12,MI,DY Patil Stadium,21 April 2022
356,Shivam Mavi,4,36,1,6,9,24,GT,DY Patil Stadium,23 April 2022
357,Washington Sundar,4,36,1,4,9,24,MI,Wankhede Stadium,17 May 2022
358,Mukesh Choudhary,4,36,0,6,9,0,PBKS,Wankhede Stadium,25 April 2022
359,Mitchell Marsh,4,36,1,9,9,24,SRH,Brabourne - CCI,05 May 2022
360,Lockie Ferguson,4,36,1,10,9,24,RCB,Brabourne - CCI,30 April 2022
361,Shardul Thakur,4,36,4,10,9,6,PBKS,DY Patil Stadium,16 May 2022
362,Hardik Pandya,4,36,1,10,9,24,PBKS,Brabourne - CCI,08 April 2022
363,Mohammad Shami,4,36,1,11,9,24,PBKS,Brabourne - CCI,08 April 2022
364,Kartik Tyagi,4,37,0,10,9.25,0,DC,Brabourne - CCI,05 May 2022
365,Mustafizur Rahman,4,37,0,6,9.25,0,LSG,Wankhede Stadium,01 May 2022
366,Anrich Nortje,4,37,2,11,9.25,12,MI,Wankhede Stadium,21 May 2022
367,Mohammed Siraj,4,37,0,11,9.25,0,CSK,DY Patil Stadium,12 April 2022
368,Rahul Chahar,4,37,2,10,9.25,12,RCB,Brabourne - CCI,13 May 2022
369,Axar Patel,4,37,0,7,9.25,0,GT,Maharashtra Cricket Association Stadium,02 April 2022
370,Arshdeep Singh,4,37,3,7,9.25,8,DC,DY Patil Stadium,16 May 2022
371,Prasidh Krishna,4,37,1,9,9.25,24,KKR,Wankhede Stadium,02 May 2022
372,T Natarajan,4,37,3,11,9.25,8,KKR,Brabourne - CCI,15 April 2022
373,Bhuvneshwar Kumar,4,37,1,13,9.25,24,KKR,Brabourne - CCI,15 April 2022
374,Sandeep Sharma,4,37,0,10,9.25,0,RCB,DY Patil Stadium,27 March 2022
375,Bhuvneshwar Kumar,4,37,2,10,9.25,12,GT,DY Patil Stadium,11 April 2022
376,Prasidh Krishna,4,37,1,13,9.25,24,MI,DY Patil Stadium,02 April 2022
377,Hardik Pandya,4,37,0,10,9.25,0,LSG,Wankhede Stadium,28 March 2022
378,Tymal Mills,4,37,0,6,9.25,0,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
379,Andre Russell,4,38,1,7,9.5,24,CSK,Wankhede Stadium,26 March 2022
380,Kagiso Rabada,4,38,4,12,9.5,6,LSG,Maharashtra Cricket Association Stadium,29 April 2022
381,Trent Boult,4,38,1,8,9.5,24,GT,Eden Gardens,24 May 2022
382,T Natarajan,4,38,1,8,9.5,24,PBKS,DY Patil Stadium,17 April 2022
383,Ravichandran Ashwin,4,38,1,8,9.5,24,KKR,Brabourne - CCI,18 April 2022
384,Kagiso Rabada,4,38,1,10,9.5,24,SRH,Wankhede Stadium,22 May 2022
385,Marco Jansen,4,38,0,12,9.5,0,CSK,Maharashtra Cricket Association Stadium,01 May 2022
386,Avesh Khan,4,38,2,12,9.5,12,CSK,Brabourne - CCI,31 March 2022
387,Varun Chakaravarthy,4,38,0,9,9.5,0,LSG,DY Patil Stadium,18 May 2022
388,Jagadeesha Suchith,4,38,1,9,9.5,24,PBKS,Wankhede Stadium,22 May 2022
389,Rishi Dhawan,4,39,2,10,9.75,12,CSK,Wankhede Stadium,25 April 2022
390,Krunal Pandya,4,39,1,4,9.75,24,RCB,Eden Gardens,25 May 2022
391,Umran Malik,4,39,2,12,9.75,12,RR,Maharashtra Cricket Association Stadium,29 March 2022
392,Andrew Tye,4,39,0,6,9.75,0,SRH,DY Patil Stadium,04 April 2022
393,Mohammad Shami,4,39,1,6,9.75,24,RR,DY Patil Stadium,14 April 2022
394,Umran Malik,4,39,1,8,9.75,24,GT,DY Patil Stadium,11 April 2022
395,Mohammad Shami,4,39,3,14,9.75,8,SRH,Wankhede Stadium,27 April 2022
396,Ravichandran Ashwin,4,39,0,10,9.75,0,RCB,Wankhede Stadium,05 April 2022
397,Anrich Nortje,4,39,2,8,9.75,12,RR,DY Patil Stadium,11 May 2022
398,Ravindra Jadeja,4,39,3,10,9.75,8,RCB,DY Patil Stadium,12 April 2022
399,Mohammad Shami,4,39,1,9,9.75,24,RCB,Brabourne - CCI,30 April 2022
400,Daniel Sams,4,39,1,8,9.75,24,SRH,Wankhede Stadium,17 May 2022
401,Josh Hazlewood,4,39,2,10,9.75,12,GT,Wankhede Stadium,19 May 2022
402,Nathan Ellis,4,40,3,11,10,8,SRH,Wankhede Stadium,22 May 2022
403,Wanindu Hasaranga,4,40,1,9,10,24,DC,Wankhede Stadium,16 April 2022
404,Wanindu Hasaranga,4,40,1,10,10,24,PBKS,DY Patil Stadium,27 March 2022
405,Sandeep Sharma,4,40,1,11,10,24,CSK,Wankhede Stadium,25 April 2022
406,Harshal Patel,4,40,0,5,10,0,DC,Wankhede Stadium,16 April 2022
407,Yash Dayal,4,40,1,8,10,24,CSK,Maharashtra Cricket Association Stadium,17 April 2022
408,Dwaine Pretorius,4,40,1,5,10,24,SRH,Maharashtra Cricket Association Stadium,01 May 2022
409,Obed McCoy,4,40,1,4,10,24,GT,Eden Gardens,24 May 2022
410,Axar Patel,4,40,0,3,10,0,MI,Brabourne - CCI,27 March 2022
411,Shardul Thakur,4,40,3,7,10,8,LSG,Wankhede Stadium,01 May 2022
412,Prasidh Krishna,4,40,1,13,10,24,GT,Narendra Modi Stadium,29 May 2022
413,Prasidh Krishna,4,40,0,9,10,0,RCB,Wankhede Stadium,05 April 2022
414,Riley Meredith,4,40,2,10,10,12,LSG,Wankhede Stadium,24 April 2022
415,Ravichandran Ashwin,4,40,0,5,10,0,GT,Eden Gardens,24 May 2022
416,Yuzvendra Chahal,4,40,5,7,10,4.8,KKR,Brabourne - CCI,18 April 2022
417,Shahbaz Ahmed,4,40,1,5,10,24,PBKS,Brabourne - CCI,13 May 2022
418,Kuldeep Yadav,4,40,1,10,10,24,SRH,Brabourne - CCI,05 May 2022
419,Daniel Sams,4,40,1,9,10,24,LSG,Wankhede Stadium,24 April 2022
420,Andrew Tye,4,40,2,10,10,12,CSK,Brabourne - CCI,31 March 2022
421,Washington Sundar,4,40,0,8,10,0,KKR,Maharashtra Cricket Association Stadium,14 May 2022
422,Yash Dayal,4,40,3,13,10,8,RR,DY Patil Stadium,14 April 2022
423,Tushar Deshpande,4,40,1,9,10,24,LSG,Brabourne - CCI,31 March 2022
424,Mukesh Choudhary,4,41,0,8,10.25,0,RR,Brabourne - CCI,20 May 2022
425,Jason Holder,4,41,1,5,10.25,24,GT,Maharashtra Cricket Association Stadium,10 May 2022
426,Rahul Chahar,4,41,1,6,10.25,24,GT,Brabourne - CCI,08 April 2022
427,Lalit Yadav,4,41,0,7,10.25,0,RR,Wankhede Stadium,22 April 2022
428,Ravi Bishnoi,4,41,1,10,10.25,24,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
429,Mohammed Siraj,4,41,1,10,10.25,24,LSG,Eden Gardens,25 May 2022
430,Sandeep Sharma,4,41,0,10,10.25,0,RR,Wankhede Stadium,07 May 2022
431,Yuzvendra Chahal,4,41,4,7,10.25,6,LSG,Wankhede Stadium,10 April 2022
432,Alzarri Joseph,4,41,1,9,10.25,24,MI,Brabourne - CCI,06 May 2022
433,Anrich Nortje,4,42,3,6,10.5,8,CSK,DY Patil Stadium,08 May 2022
434,Mohammad Shami,4,42,0,8,10.5,0,MI,Brabourne - CCI,06 May 2022
435,Wanindu Hasaranga,4,42,1,5,10.5,24,LSG,Eden Gardens,25 May 2022
436,Shardul Thakur,4,42,0,6,10.5,0,GT,Maharashtra Cricket Association Stadium,02 April 2022
437,Alzarri Joseph,4,42,1,9,10.5,24,RCB,Brabourne - CCI,30 April 2022
438,Romario Shepherd,4,42,2,10,10.5,12,LSG,DY Patil Stadium,04 April 2022
439,Dwayne Bravo,4,42,1,6,10.5,24,RCB,DY Patil Stadium,12 April 2022
440,Yash Dayal,4,42,2,10,10.5,12,KKR,DY Patil Stadium,23 April 2022
441,Yuzvendra Chahal,4,42,1,6,10.5,24,LSG,Brabourne - CCI,15 May 2022
442,T Natarajan,4,42,2,4,10.5,12,CSK,Maharashtra Cricket Association Stadium,01 May 2022
443,Dwayne Bravo,4,42,2,5,10.5,12,PBKS,Wankhede Stadium,25 April 2022
444,Kuldeep Sen,4,42,0,9,10.5,0,PBKS,Wankhede Stadium,07 May 2022
445,Kartik Tyagi,4,42,1,10,10.5,24,RCB,Wankhede Stadium,08 May 2022
446,Mohammad Shami,4,43,1,11,10.75,24,RR,Eden Gardens,24 May 2022
447,Prasidh Krishna,4,43,1,5,10.75,24,KKR,Brabourne - CCI,18 April 2022
448,Mohammed Siraj,4,43,0,8,10.75,0,RR,Wankhede Stadium,05 April 2022
449,T Natarajan,4,43,2,8,10.75,12,RR,Maharashtra Cricket Association Stadium,29 March 2022
450,Yuzvendra Chahal,4,43,1,6,10.75,24,DC,DY Patil Stadium,11 May 2022
451,Mustafizur Rahman,4,43,1,6,10.75,24,RR,Wankhede Stadium,22 April 2022
452,Vaibhav Arora,4,43,1,9,10.75,24,MI,Maharashtra Cricket Association Stadium,13 April 2022
453,T Natarajan,4,43,1,7,10.75,24,KKR,Maharashtra Cricket Association Stadium,14 May 2022
454,Josh Hazlewood,4,43,3,11,10.75,8,LSG,Eden Gardens,25 May 2022
455,Siddarth Kaul,4,43,0,6,10.75,0,GT,Wankhede Stadium,19 May 2022
456,Mohammad Shami,4,43,1,12,10.75,24,PBKS,DY Patil Stadium,03 May 2022
457,T Natarajan,4,43,0,7,10.75,0,GT,Wankhede Stadium,27 April 2022
458,Khaleel Ahmed,4,43,0,8,10.75,0,PBKS,DY Patil Stadium,16 May 2022
459,Sai Kishore,4,43,1,4,10.75,24,RR,Eden Gardens,24 May 2022
460,Mohsin Khan,4,43,0,9,10.75,0,RR,Brabourne - CCI,15 May 2022
461,Umesh Yadav,4,44,0,11,11,0,RR,Brabourne - CCI,18 April 2022
462,Jaydev Unadkat,4,44,1,8,11,24,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
463,Varun Chakaravarthy,4,44,1,8,11,24,DC,Brabourne - CCI,10 April 2022
464,Shardul Thakur,4,44,2,10,11,12,SRH,Brabourne - CCI,05 May 2022
465,Dushmantha Chameera,4,44,1,6,11,24,DC,Wankhede Stadium,01 May 2022
466,Akash Deep,4,44,0,6,11,0,RR,Wankhede Stadium,05 April 2022
467,Trent Boult,4,44,1,10,11,24,CSK,Brabourne - CCI,20 May 2022
468,Riley Meredith,4,44,1,6,11,24,SRH,Wankhede Stadium,17 May 2022
469,Rahul Chahar,4,44,0,6,11,0,MI,Maharashtra Cricket Association Stadium,13 April 2022
470,Avesh Khan,4,44,1,10,11,24,RCB,Eden Gardens,25 May 2022
471,Chetan Sakariya,4,44,0,4,11,0,LSG,Wankhede Stadium,01 May 2022
472,Rashid Khan,4,45,0,2,11.25,0,SRH,Wankhede Stadium,27 April 2022
473,Jason Holder,4,45,0,10,11.25,0,KKR,DY Patil Stadium,18 May 2022
474,Yuzvendra Chahal,4,45,0,2,11.25,0,RCB,Narendra Modi Stadium,27 May 2022
475,Varun Aaron,4,45,2,5,11.25,12,LSG,Wankhede Stadium,28 March 2022
476,Ravi Bishnoi,4,45,1,8,11.25,24,RCB,Eden Gardens,25 May 2022
477,Jason Holder,4,45,0,6,11.25,0,DC,Wankhede Stadium,01 May 2022
478,Mukesh Choudhary,4,46,4,9,11.5,6,SRH,Maharashtra Cricket Association Stadium,01 May 2022
479,Tim Southee,4,46,2,7,11.5,12,RR,Wankhede Stadium,02 May 2022
480,Kieron Pollard,4,46,1,5,11.5,24,RR,DY Patil Stadium,02 April 2022
481,Lockie Ferguson,4,46,0,5,11.5,0,CSK,Maharashtra Cricket Association Stadium,17 April 2022
482,Fabian Allen,4,46,1,6,11.5,24,LSG,Brabourne - CCI,16 April 2022
483,Yash Dayal,4,46,1,11,11.5,24,RR,Eden Gardens,24 May 2022
484,Kuldeep Yadav,4,46,1,7,11.5,24,RCB,Wankhede Stadium,16 April 2022
485,Lockie Ferguson,4,46,0,9,11.5,0,SRH,DY Patil Stadium,11 April 2022
486,Basil Thampi,4,47,2,7,11.75,12,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
487,Ravi Bishnoi,4,47,0,5,11.75,0,RCB,DY Patil Stadium,19 April 2022
488,Shardul Thakur,4,47,0,8,11.75,0,MI,Brabourne - CCI,27 March 2022
489,Khaleel Ahmed,4,47,1,12,11.75,24,RR,Wankhede Stadium,22 April 2022
490,Fazalhaq Farooqi,4,47,0,6,11.75,0,RCB,Wankhede Stadium,08 May 2022
491,Harshal Patel,4,47,2,7,11.75,12,LSG,DY Patil Stadium,19 April 2022
492,Trent Boult,4,47,0,10,11.75,0,DC,Wankhede Stadium,22 April 2022
493,Sean Abbott,4,47,1,7,11.75,24,DC,Brabourne - CCI,05 May 2022
494,Jaydev Unadkat,4,48,2,5,12,12,CSK,DY Patil Stadium,21 April 2022
495,Prasidh Krishna,4,48,1,6,12,24,PBKS,Wankhede Stadium,07 May 2022
496,Dushmantha Chameera,4,48,1,11,12,24,MI,Brabourne - CCI,16 April 2022
497,Trent Boult,4,48,0,7,12,0,KKR,Brabourne - CCI,18 April 2022
498,Umesh Yadav,4,48,1,8,12,24,DC,Brabourne - CCI,10 April 2022
499,Umran Malik,4,48,0,8,12,0,CSK,Maharashtra Cricket Association Stadium,01 May 2022
500,Mustafizur Rahman,4,48,0,8,12,0,RCB,Wankhede Stadium,16 April 2022
501,Jasprit Bumrah,4,48,0,7,12,0,GT,Brabourne - CCI,06 May 2022
502,Pat Cummins,4,49,2,9,12.25,12,MI,Maharashtra Cricket Association Stadium,06 April 2022
503,Dushmantha Chameera,4,49,0,6,12.25,0,CSK,Brabourne - CCI,31 March 2022
504,Jason Holder,4,50,2,9,12.5,12,RR,Wankhede Stadium,10 April 2022
505,Shivam Mavi,4,50,1,10,12.5,24,LSG,Maharashtra Cricket Association Stadium,07 May 2022
506,Dwaine Pretorius,4,50,0,4,12.5,0,PBKS,Wankhede Stadium,25 April 2022
507,Kagiso Rabada,4,50,1,7,12.5,24,RR,Wankhede Stadium,07 May 2022
508,Pat Cummins,4,50,1,4,12.5,24,RR,Brabourne - CCI,18 April 2022
509,Mohammed Siraj,4,51,0,10,12.75,0,MI,Maharashtra Cricket Association Stadium,09 April 2022
510,Pat Cummins,4,51,0,5,12.75,0,DC,Brabourne - CCI,10 April 2022
511,Kuldeep Sen,4,51,1,6,12.75,24,GT,DY Patil Stadium,14 April 2022
512,Mukesh Choudhary,4,52,1,11,13,24,PBKS,Brabourne - CCI,03 April 2022
513,Lockie Ferguson,4,52,0,6,13,0,SRH,Wankhede Stadium,27 April 2022
514,Odean Smith,4,52,0,9,13,0,RCB,DY Patil Stadium,27 March 2022
515,Umran Malik,4,52,0,9,13,0,DC,Brabourne - CCI,05 May 2022
516,Dushmantha Chameera,4,54,0,7,13.5,0,RCB,Eden Gardens,25 May 2022
517,Daniel Sams,4,57,0,4,14.25,0,DC,Brabourne - CCI,27 March 2022
518,Tim Southee,4,57,0,5,14.25,0,LSG,DY Patil Stadium,18 May 2022
519,Akash Deep,4,58,0,6,14.5,0,CSK,DY Patil Stadium,12 April 2022
520,Mohammed Siraj,4,59,2,9,14.75,12,PBKS,DY Patil Stadium,27 March 2022
521,T Natarajan,4,60,0,4,15,0,MI,Wankhede Stadium,17 May 2022
522,Avesh Khan,4,60,0,6,15,0,KKR,DY Patil Stadium,18 May 2022
523,Marco Jansen,4,63,0,4,15.75,0,GT,Wankhede Stadium,27 April 2022
524,Josh Hazlewood,4,64,0,5,16,0,PBKS,Brabourne - CCI,13 May 2022