POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Pat Cummins,56,14,373.33,4,6,MI,Maharashtra Cricket Association Stadium,06 April 2022
2,Moeen Ali,93,19,163.15,13,3,RR,Brabourne - CCI,20 May 2022
3,Liam Livingstone,64,21,237.03,7,4,GT,Brabourne - CCI,08 April 2022
4,Rahul Tripathi,71,21,191.89,4,6,KKR,Brabourne - CCI,15 April 2022
5,Jonny Bairstow,66,21,227.58,4,7,RCB,Brabourne - CCI,13 May 2022
6,Evin Lewis,55,23,239.13,6,3,CSK,Brabourne - CCI,31 March 2022
7,Jos Buttler,106,23,176.66,10,6,RCB,Narendra Modi Stadium,27 May 2022
8,Jos Buttler,54,23,225,8,3,GT,DY Patil Stadium,14 April 2022
9,Aaron Finch,58,25,207.14,9,2,RR,Brabourne - CCI,18 April 2022
10,Robin Uthappa,50,25,185.18,8,1,LSG,Brabourne - CCI,31 March 2022
11,Sanju Samson,55,25,203.7,3,5,SRH,Maharashtra Cricket Association Stadium,29 March 2022
12,Dinesh Karthik,66,26,194.11,5,5,DC,Wankhede Stadium,16 April 2022
13,Liam Livingstone,60,26,181.81,5,4,SRH,DY Patil Stadium,17 April 2022
14,Shivam Dube,57,26,190,6,3,PBKS,Brabourne - CCI,03 April 2022
15,David Warner,60,26,200,10,1,PBKS,Brabourne - CCI,20 April 2022
16,Prithvi Shaw,51,27,175.86,7,2,KKR,Brabourne - CCI,10 April 2022
17,Andre Russell,70,27,225.8,2,8,PBKS,Wankhede Stadium,01 April 2022
18,Quinton De Kock,50,27,172.41,4,3,KKR,Maharashtra Cricket Association Stadium,07 May 2022
19,Liam Livingstone,60,27,187.5,5,5,CSK,Brabourne - CCI,03 April 2022
20,Devon Conway,87,27,177.55,7,5,DC,DY Patil Stadium,08 May 2022
21,Shreyas Iyer,50,28,172.41,4,3,LSG,DY Patil Stadium,18 May 2022
22,Ambati Rayudu,78,28,200,7,6,PBKS,Wankhede Stadium,25 April 2022
23,David Miller,94,28,184.31,8,6,CSK,Maharashtra Cricket Association Stadium,17 April 2022
24,Wriddhiman Saha,68,28,178.94,11,1,SRH,Wankhede Stadium,27 April 2022
25,Rajat Patidar,112,28,207.4,12,7,LSG,Eden Gardens,25 May 2022
26,Tilak Varma,61,28,184.84,3,5,RR,DY Patil Stadium,02 April 2022
27,Shubman Gill,96,29,162.71,11,1,PBKS,Brabourne - CCI,08 April 2022
28,Nicholas Pooran,62,29,182.35,2,6,DC,Brabourne - CCI,05 May 2022
29,Nicholas Pooran,64,29,193.93,3,6,CSK,Maharashtra Cricket Association Stadium,01 May 2022
30,Jos Buttler,103,29,168.85,9,5,KKR,Brabourne - CCI,18 April 2022
31,Riyan Parag,56,29,180.64,3,4,RCB,Maharashtra Cricket Association Stadium,26 April 2022
32,David Warner,66,29,173.68,4,5,RCB,Wankhede Stadium,16 April 2022
33,Rajat Patidar,52,29,162.5,5,2,GT,Brabourne - CCI,30 April 2022
34,Glenn Maxwell,55,30,161.76,7,2,DC,Wankhede Stadium,16 April 2022
35,Prithvi Shaw,61,30,179.41,9,2,LSG,DY Patil Stadium,07 April 2022
36,Mayank Agarwal,52,30,162.5,6,2,MI,Maharashtra Cricket Association Stadium,13 April 2022
37,Nitish Rana,57,30,167.64,3,4,DC,Wankhede Stadium,28 April 2022
38,Shivam Dube,95,30,206.52,5,8,RCB,DY Patil Stadium,12 April 2022
39,Rovman Powell,67,30,191.42,3,6,SRH,Brabourne - CCI,05 May 2022
40,Devdutt Padikkal,54,31,154.28,7,2,DC,Wankhede Stadium,22 April 2022
41,Deepak Hooda,51,31,154.54,3,3,SRH,DY Patil Stadium,04 April 2022
42,Aiden Markram,68,31,188.88,6,4,KKR,Brabourne - CCI,15 April 2022
43,Shreyas Iyer,85,32,166.66,7,4,RR,Brabourne - CCI,18 April 2022
44,Shreyas Iyer,54,32,163.63,5,2,DC,Brabourne - CCI,10 April 2022
45,Shubman Gill,84,32,182.6,6,4,DC,Maharashtra Cricket Association Stadium,02 April 2022
46,Nitish Rana,54,32,150,6,2,SRH,Brabourne - CCI,15 April 2022
47,Suryakumar Yadav,68,32,183.78,5,6,RCB,Maharashtra Cricket Association Stadium,09 April 2022
48,Jos Buttler,100,32,147.05,11,5,MI,DY Patil Stadium,02 April 2022
49,Rahul Tripathi,58,32,156.75,6,2,RCB,Wankhede Stadium,08 May 2022
50,Rahul Tripathi,76,32,172.72,9,3,MI,Wankhede Stadium,17 May 2022
51,Abhishek Sharma,75,32,150,5,3,CSK,DY Patil Stadium,09 April 2022
52,Deepak Hooda,52,32,152.94,6,1,DC,Wankhede Stadium,01 May 2022
53,Virat Kohli,73,33,135.18,8,2,GT,Wankhede Stadium,19 May 2022
54,K L Rahul,103,33,171.66,9,5,MI,Brabourne - CCI,16 April 2022
55,Hardik Pandya,87,33,167.3,8,4,RR,DY Patil Stadium,14 April 2022
56,Shubman Gill,52,33,144.44,6,2,MI,Brabourne - CCI,06 May 2022
57,Ruturaj Gaikwad,99,33,173.68,6,6,SRH,Maharashtra Cricket Association Stadium,01 May 2022
58,Robin Uthappa,88,33,176,4,9,RCB,DY Patil Stadium,12 April 2022
59,Shimron Hetmyer,59,33,163.88,1,6,LSG,Wankhede Stadium,10 April 2022
60,Abhishek Sharma,65,33,154.76,6,3,GT,Wankhede Stadium,27 April 2022
61,Deepak Hooda,59,33,151.28,5,2,RR,Brabourne - CCI,15 May 2022
62,Yashasvi Jaiswal,68,33,165.85,9,2,PBKS,Wankhede Stadium,07 May 2022
63,Devon Conway,56,33,151.35,6,2,RCB,Maharashtra Cricket Association Stadium,04 May 2022
64,Faf Du Plessis,73,34,146,8,2,SRH,Wankhede Stadium,08 May 2022
65,Ishan Kishan,81,34,168.75,11,2,DC,Brabourne - CCI,27 March 2022
66,Quinton De Kock,61,34,135.55,9,0,CSK,Brabourne - CCI,31 March 2022
67,Suryakumar Yadav,52,34,144.44,5,2,KKR,Maharashtra Cricket Association Stadium,06 April 2022
68,David Warner,92,34,158.62,12,3,SRH,Brabourne - CCI,05 May 2022
69,Jonny Bairstow,56,34,140,8,1,RR,Wankhede Stadium,07 May 2022
70,Wriddhiman Saha,55,34,137.5,6,2,MI,Brabourne - CCI,06 May 2022
71,K L Rahul,77,35,150.98,4,5,DC,Wankhede Stadium,01 May 2022
72,David Miller,68,35,178.94,3,5,RR,Eden Gardens,24 May 2022
73,Liam Livingstone,70,35,166.66,5,4,RCB,Brabourne - CCI,13 May 2022
74,David Warner,61,35,135.55,6,2,KKR,Brabourne - CCI,10 April 2022
75,Aiden Markram,56,35,140,2,3,GT,Wankhede Stadium,27 April 2022
76,Hardik Pandya,67,36,136.73,4,2,KKR,DY Patil Stadium,23 April 2022
77,Quinton De Kock,80,36,153.84,9,2,DC,DY Patil Stadium,07 April 2022
78,Quinton De Kock,140,36,200,10,10,KKR,DY Patil Stadium,18 May 2022
79,Suryakumar Yadav,51,36,130.76,5,2,RR,DY Patil Stadium,30 April 2022
80,Jos Buttler,116,36,178.46,9,9,DC,Wankhede Stadium,22 April 2022
81,Deepak Hooda,55,36,134.14,6,2,GT,Wankhede Stadium,28 March 2022
82,Shikhar Dhawan,88,37,149.15,9,2,CSK,Wankhede Stadium,25 April 2022
83,Shikhar Dhawan,70,37,140,5,3,MI,Maharashtra Cricket Association Stadium,13 April 2022
84,K L Rahul,103,37,166.12,12,4,MI,Wankhede Stadium,24 April 2022
85,Ravichandran Ashwin,50,37,131.57,4,2,DC,DY Patil Stadium,11 May 2022
86,Ruturaj Gaikwad,73,37,152.08,5,5,GT,Maharashtra Cricket Association Stadium,17 April 2022
87,Shikhar Dhawan,62,38,116.98,8,1,GT,DY Patil Stadium,03 May 2022
88,Mitchell Marsh,89,38,143.54,5,7,RR,DY Patil Stadium,11 May 2022
89,MS Dhoni,50,38,131.57,7,1,KKR,Wankhede Stadium,26 March 2022
90,Sanju Samson,54,38,110.2,7,1,KKR,Wankhede Stadium,02 May 2022
91,Anuj Rawat,66,38,140.42,2,6,MI,Maharashtra Cricket Association Stadium,09 April 2022
92,Ayush Badoni,54,38,131.7,4,3,GT,Wankhede Stadium,28 March 2022
93,Aiden Markram,57,39,139.02,5,2,RR,Maharashtra Cricket Association Stadium,29 March 2022
94,Yashasvi Jaiswal,59,39,134.09,8,1,CSK,Brabourne - CCI,20 May 2022
95,Devon Conway,85,39,154.54,8,4,SRH,Maharashtra Cricket Association Stadium,01 May 2022
96,K L Rahul,68,40,136,6,1,SRH,DY Patil Stadium,04 April 2022
97,Mitchell Marsh,63,40,131.25,4,3,PBKS,DY Patil Stadium,16 May 2022
98,Faf Du Plessis,96,40,150,11,2,LSG,DY Patil Stadium,19 April 2022
99,Rajat Patidar,58,40,138.09,4,3,RR,Narendra Modi Stadium,27 May 2022
100,K L Rahul,68,41,133.33,3,4,KKR,DY Patil Stadium,18 May 2022
101,Faf Du Plessis,88,41,154.38,3,7,PBKS,DY Patil Stadium,27 March 2022
102,Ishan Kishan,51,41,118.6,5,1,KKR,DY Patil Stadium,09 May 2022
103,Ishan Kishan,54,41,125.58,5,1,RR,DY Patil Stadium,02 April 2022
104,David Warner,52,41,126.82,5,1,RR,DY Patil Stadium,11 May 2022
105,Venkatesh Iyer,50,41,121.95,6,1,MI,Maharashtra Cricket Association Stadium,06 April 2022
106,Hardik Pandya,50,42,119.04,4,1,SRH,DY Patil Stadium,11 April 2022
107,Hardik Pandya,62,42,131.91,4,3,RCB,Wankhede Stadium,19 May 2022
108,Shubman Gill,63,42,128.57,7,0,LSG,Maharashtra Cricket Association Stadium,10 May 2022
109,Kane Williamson,57,42,123.91,2,4,GT,DY Patil Stadium,11 April 2022
110,Jos Buttler,89,42,158.92,12,2,GT,Eden Gardens,24 May 2022
111,Jos Buttler,70,42,148.93,0,6,RCB,Wankhede Stadium,05 April 2022
112,Wriddhiman Saha,67,42,117.54,8,1,CSK,Wankhede Stadium,15 May 2022
113,Sai Sudharsan,65,42,130,5,1,PBKS,DY Patil Stadium,03 May 2022
114,Tilak Varma,51,42,118.6,3,2,CSK,DY Patil Stadium,21 April 2022
115,K L Rahul,79,43,136.2,3,5,RCB,Eden Gardens,25 May 2022
116,Ruturaj Gaikwad,53,44,108.16,4,1,GT,Wankhede Stadium,15 May 2022
117,Virat Kohli,58,45,109.43,6,1,GT,Brabourne - CCI,30 April 2022
118,Jos Buttler,67,48,128.84,5,4,MI,DY Patil Stadium,30 April 2022